Title,P-ISSN,E-ISSN,Source Type,All Science Classification Codes (ASJC)
Issue Brief (Public Policy Institute (American Association of Retired Persons)),10633189,,Journal,2700;
Issues (National Council of State Boards of Nursing (U.S.)),08850046,,Journal,2700;
Issues and Studies,10132511,,Journal,3320; 3312;
Issues in Accounting Education,07393172,15587983 ,Journal,1402; 3304;
Issues in brief (Alan Guttmacher Institute),,,Journal,2700;
Issues in Comprehensive Pediatric Nursing,01460862,,Journal,2919;
Issues in Educational Research,03137155,,Journal,3304;
Issues in emerging health technologies,14886324,,Journal,2700;
"Issues in Engineering: Journal of Professional Activities, Proceedings of the ASCE",01913271,,Journal,2200;
Issues in health care of women,01615246,,Journal,2700;
Issues in Law and Medicine,87568160,,Journal,2910; 2719;
Issues in Legal Scholarship,15398323,,Journal,3308;
Issues in medical ethics.,,,Journal,2700;
Issues in Mental Health Nursing,01612840,10964673,Journal,2921;
Issues in reproductive and genetic engineering : journal of international feminist analysis,09586415,,Journal,2700;
Issues in Science and Technology,07485492,,Journal,1000;
Issues in Science and Technology Librarianship,10921206,,Journal,2201; 3309;
Issues Med Ethics,,,Journal,2700;
Istanbul Tip Fakultesi Mecmuasi,03017362,,Journal,2700;
Istanbul Universitesi Veteriner Fakultesi Dergisi,02502836,,Journal,3400;
Istanbul University - Journal of Electrical and Electronics Engineering,13030914,,Journal,2208;
Istoriko-biologicheskie issledovaniia,,,Journal,2700;
IT Architect,15572145,,Journal,1710;
IT Professional,15209202,,Journal,1708; 1712; 1706;
Italian Culture,01614622,15590909 ,Journal,3316; 1208; 3312; 1213; 
Italian Heart Journal,1129471X,,Journal,2705;
Italian Heart Journal Supplement,11294728,,Journal,2705;
Italian Journal of Allergy and Clinical Immunology,11206373,,Journal,2723;
Italian Journal of Anatomy and Embryology,11226714,,Journal,2700;
Italian Journal of Engineering Geology and Environment,18256635,20355688 ,Journal,2305; 1909;
Italian Journal of Gastroenterology,03920623,,Journal,2715;
Italian Journal of Gastroenterology and Hepatology,11258055,,Journal,2715;
Italian Journal of Geosciences,20381719,20381727 ,Journal,1907; 1900; 
Italian Journal of Gynaecology and Obstetrics,11218339,,Journal,2729;
Italian Journal of Linguistics,11202726,,Journal,3310; 1203;
Italian Journal of Medicine,18779344,,Journal,2700;
Italian Journal of Pediatrics,17208424,,Journal,2735;
Italian Journal of Psychiatry and Behavioural Sciences,11222247,,Journal,2738;
Italian Journal of Public Health,17237807,17237815 ,Journal,2739; 2713; 2719; 2905;
Italian Journal of Pure and Applied Mathematics,11268042,,Journal,2600;
Italian Journal of Remote Sensing / Rivista Italiana di Telerilevamento,11298596,20397879 ,Journal,2300; 1903; 1902; 2604;
Italian Journal of Sports Traumatology,03914089,,Journal,2746;
Italian Journal of Surgical Sciences,03923525,,Journal,2746;
Italian Journal of Vascular and Endovascular Surgery,18244777,18271847,Journal,2746; 2705;
Italian Oral Surgery,18272452,,Journal,3504; 3505;
Italian Sociological Review,22398589,,Journal,3300; 
Italian Studies,00751634,17486181,Journal,3310; 1203; 1202; 1213; 1208; 3316;
Italianist,02614340,,Journal,3314; 1202; 
Italianistica,03913368,17241677 ,Journal,1208;
ITALICS Innovations in Teaching and Learning in Information and Computer Sciences,14737507,,Journal,1700; 3304;
Italienisch,01714996,,Journal,1208; 3310; 1203; 
ITB Journal of Engineering Science,19783051,,Journal,2200;
ITB Journal of Information and Communication Technology,19783086,,Journal,1700; 2208;
ITB Journal of Science,19783043,,Journal,1000;
ITBM-RBM News,12979570,,Journal,2204; 2700;
ITC Journal,03032434,,Journal,2306; 1904; 1903; 2308;
ITE Journal (Institute of Transportation Engineers),01628178,,Journal,2210; 2203;
Itinera Geobotanica,02138530,,Journal,2300; 1900;
Itinerario,01651153,20412827 ,Journal,1202; 3320;
ITL - International Journal of Applied Linguistics (Belgium),00190829,17831490 ,Journal,3310; 1203; 3304;
ITS Journal: Intelligent Transportation Systems Journal,10248072,15635082,Journal,1803;
ITU News,10204148,,Journal,2208;
IUP Journal of Commonwealth Literature,09748822,,Journal,1208;
IUP Journal of English Studies,09733728,,Journal,1208; 3310; 1203;
IUP Journal of History and Culture,09738517,,Journal,3316; 3312; 1202;
Ius et Praxis,07172877,07180012,Journal,3308;
IWMI Research Report,10260862,,Journal,2312; 1910;
Izquierdas,07185049,,Journal,3312; 1202; 3320; 
Izvestia Akademii nauk SSSR. Metally,05685303,,Journal,2200;
Izvestiia Akademii nauk. Seriia biologicheskaia / Rossiiskaia akademiia nauk,10263470,,Journal,2700;
Izvestitya - Russkogo Geograficheskogo Obshchestva,08696071,,Journal,1900;
"Izvestiya - Akademiya Nauk, Seriya Geograficheskaya",,,Journal,2300; 1900;
Izvestiya - Atmospheric and Oceanic Physics,00014338,,Journal,1910; 1902;
Izvestiya - Physics of the Solid Earth,10693513,,Journal,2300; 1900;
"Izvestiya Akademii Nauk SSSR, Energetika i Transport",00023310,,Journal,1508;
"Izvestiya Akademii Nauk, Seriya Geograficheskaya",03732444,,Journal,1900; 3305;
Izvestiya Akademii Nauk. Mekhanika Zhidkosti I Gaza,05685281,,Journal,2210;
Izvestiya Akademii Nauk. Ser. Fizicheskaya,03676765,,Journal,3100;
Izvestiya Akademii Nauk. Teoriya i Sistemy Upravleniya,10293620,,Journal,2200;
Izvestiya Akademii Nauk: Tekhnicheskaia Kibernetika,00023388,,Journal,2200;
"Izvestiya Vysshikh Uchebnykh Zavedenii, Energetika",05792983,,Journal,1508;
"Izvestiya Vysshikh Uchebnykh Zavedenii, Gornyi Zhurnal",00213411,,Journal,1909;
Izvestiya Vysshikh Uchebnykh Zavedenij. Aviatsionnaya Tekhnika,05792975,,Journal,2202;
Izvestiya Vysshikh Uchebnykh Zavedenij. Chernaya Metallurgiya,03680797,,Journal,2506;
Izvestiya Vysshikh Uchebnykh Zavedenij. Radioelektronika,00213470,,Journal,1705; 2208;
Izvestiya Vysshikh Uchebnykh Zavedenij. Radiofizika,00213462,,Journal,3101; 2208;
Izvestiya Vysshikh Uchebnykh Zavedenij. Tsvetnaya Metallurgiya,00213438,,Journal,2506;
Izvestiya. Mathematics,10645632,14684810,Journal,2600;
JAAD Case Reports,,23525126,Journal,2700; 
JAAMI; journal of the Association for the Advancement of Medical Instrumentation,00045446,,Journal,2700;
JAAPA : official journal of the American Academy of Physician Assistants,15471896,,Journal,2700;
JAC: A Journal of Composition Theory,07316755,,Journal,3304; 3310; 3301;
JACC: Cardiovascular Imaging,1936878X,,Journal,2741; 2705;
JACC: Cardiovascular Interventions,19368798,,Journal,2705;
JACC: Heart Failure,22131779,,Journal,2705; 
JACEP,03611124,,Journal,2706;
Jaen Journal on Approximation,18893066,19897251 ,Journal,2603; 2612;
Jahrbuch für Geschichte Lateinamerikas,14384752,,Journal,2700;
"Jahrbuch für Geschichte von Staat, Wirtschaft und Gesellschaft Lateinamerikas",00752673,,Journal,2700;
Jahrbuch für Regional Wissenschaft/Review of Regional Research,01737600,,Journal,3305;
Jahrbuch für Wirtschaftsgeschichte,00752800,,Journal,1202; 2002;
Jahrbucher für Nationalokonomie und Statistik,00214027,,Journal,1400; 2002; 3301;
Jahresbericht (Schweizerische Akademie der Medizinischen Wissenschaften : 1988),10161562,,Journal,2700;
Jahresbericht der Deutschen Mathematiker-Vereinigung,00120456,18697135 ,Journal,2601; 
JALA - Journal of the Association for Laboratory Automation,15355535,15402452,Journal,3607; 1706;
JAMA - Journal of the American Medical Association,00987484,,Journal,2700;
JAMA Dermatology,21686068,21686084 ,Journal,2708; 
JAMA Facial Plastic Surgery,21686076,21686092 ,Journal,2746; 
JAMA Internal Medicine,21686106,21686114 ,Journal,2724; 
JAMA Neurology,21686149,21686157 ,Journal,2728; 1201; 
JAMA Ophthalmology,21686165,21686173 ,Journal,2731; 
JAMA Otolaryngology - Head and Neck Surgery,21686181,2168619X ,Journal,2746; 2733; 
JAMA Pediatrics,21686203,21686211 ,Journal,2735; 
JAMA Psychiatry,2168622X,21686238 ,Journal,2738; 1201; 
JAMA Surgery,21686254,21686262 ,Journal,2746; 
Jamahiriya Medical Journal,20791224,,Journal,2700;
Jamba: Journal of Disaster Risk Studies,19961421,,Journal,3311; 2308; 
James Joyce Quarterly,00214183,,Journal,1208;
JAMS Journal of Acupuncture and Meridian Studies,20052901,,Journal,2707; 2703;
Janus.net,,16477251 ,Journal,3308; 3320; 
"JAOCS, Journal of the American Oil Chemists' Society",0003021X,,Journal,1605; 1500;
Japan and the World Economy,09221425,,Journal,2003; 2002; 3320;
Japan Forum,09555803,,Journal,3316; 3312; 1202;
Japan Journal of Applied Mathematics,09102043,,Journal,2200; 2604;
Japan Journal of Industrial and Applied Mathematics,09167005,,Journal,2604; 2200;
Japan Journal of Logopedics and Phoniatrics,00302813,,Journal,2912; 3616;
Japan Journal of Medical Informatics,02898055,,Journal,2718;
Japan Journal of Nursing Science,17427932,17427924,Journal,2922;
Japan Medical Association Journal,13468650,,Journal,2700;
Japan Telecommunications Review,00214744,,Journal,2200;
"Japan, National Institute of Polar Research, Memoirs, Special Issue",03860744,,Journal,1901; 
Japanese Annals of Thoracic Surgery,03897893,,Journal,2700;
Japanese Archives of Internal Medicine,00214809,,Journal,2724;
Japanese Dental Science Review,18827616,,Journal,3500;
Japanese Economic Review,13524739,14685876,Journal,2002;
Japanese Heart Journal,00214868,,Journal,2705;
Japanese Journal of Aerospace and Environmental Medicine,03870723,,Journal,2739;
Japanese Journal of Alcohol Studies and Drug Dependence,13418963,,Journal,3306; 2701;
Japanese Journal of Allergology,00214884,,Journal,2723;
Japanese Journal of Anesthesiology,00214892,,Journal,2703;
Japanese Journal of Antibiotics,03682781,,Journal,2725; 2726; 2736;
Japanese Journal of Applied Physics,00214922,,Journal,3100; 2200;
"Japanese Journal of Applied Physics, Part 1: Regular Papers & Short Notes",00214922,,Journal,3100; 2200;
"Japanese Journal of Applied Physics, Part 2: Letters",00214922,,Journal,3101;
Japanese Journal of Cardiac Pacing and Electrophysiology,09110836,,Journal,2705;
Japanese Journal of Chest Diseases,03853667,,Journal,2740;
Japanese Journal of Clinical Ophthalmology,03705579,,Journal,2731;
Japanese Journal of Clinical Radiology,00099252,,Journal,2741;
Japanese Journal of Clinical Urology,03852393,,Journal,2748;
Japanese Journal of Conservation Ecology,13424327,,Journal,2309;
Japanese Journal of Educational Psychology,00215015,,Journal,3304; 3204;
Japanese Journal of Fertility and Sterility,00290629,,Journal,2729;
Japanese Journal of Gastroenterological Surgery,03869768,,Journal,2715; 2746;
Japanese Journal of Gastroenterology,04466586,,Journal,2715;
Japanese Journal of Geriatrics,03009173,,Journal,2717;
Japanese Journal of Head and Neck Cancer,13495747,18818382 ,Journal,2730; 2733; 
Japanese Journal of Hygiene,00215082,,Journal,2739;
Japanese Journal of Infectious Diseases,13446304,,Journal,2725; 2726;
Japanese Journal of Interventional Cardiology,09148922,,Journal,2741; 2705;
Japanese Journal of Legal Medicine,00471887,,Journal,2719; 3308;
Japanese Journal of Leprosy,13423681,,Journal,2725; 2708;
Japanese Journal of Lung Cancer,03869628,,Journal,2740; 2730;
Japanese Journal of Mathematics,02892316,,Journal,2600;
Japanese Journal of Medical Electronics and Biological Engineering,1347443X,,Journal,2208;
Japanese Journal of Medical Ultrasonics,02870592,,Journal,2741;
Japanese Journal of Medicine,00215120,,Journal,2700;
Japanese Journal of Microbiology,00215139,,Journal,2700;
Japanese Journal of Nephrology,03852385,,Journal,2727;
Japanese Journal of Neurosurgery,0917950X,,Journal,2728; 2746;
Japanese Journal of Ophthalmology,00215155,,Journal,2731;
Japanese Journal of Oral Biology,03850137,,Journal,3500;
Japanese Journal of Physical Fitness and Sports Medicine,0039906X,,Journal,2732; 3612;
Japanese Journal of Plastic and Reconstructive Surgery,00215228,,Journal,2746;
Japanese Journal of Political Science,14681099,14740060 ,Journal,3320; 3312;
Japanese Journal of Psychosomatic Medicine,03850307,,Journal,2738;
Japanese Journal of Radiology,18671071,,Journal,2741;
Japanese Journal of Religious Studies,03041042,,Journal,1212;
Japanese Journal of Rheumatology,01691163,,Journal,2745;
Japanese Journal of Surgery,00471909,,Journal,2746;
Japanese Journal of Thoracic and Cardiovascular Surgery,13444964,,Journal,2705;
Japanese Journal of Thoracic Surgery,00215252,,Journal,2700;
Japanese Journal of Tribology,10457828,,Journal,2505; 2508; 2211; 2210;
Japanese Journal of Urology,00215287,,Journal,2748;
Japanese Journal of Veterinary Research,00471917,,Journal,3400;
Japanese Magazine of Mineralogical and Petrological Sciences,13497979,1345630X,Journal,1905; 1906;
Japanese medical journal,03683095,,Journal,2700;
Japanese Psychological Research,00215368,14685884,Journal,3200;
Japanese Railway Engineering,04488938,,Journal,2210;
Japanese Studies,10371397,,Journal,3316; 3312; 1202; 3300; 3320;
Japan-hospitals : the journal of the Japan Hospital Association,09101004,,Journal,2700;
JAPCA,08940630,,Journal,2300; 1900;
JASSA,03135934,,Journal,2003;
JASSS,14607425,,Journal,1701; 3300;
JAVA - Journal of the Association for Vascular Access,15528855,,Journal,2701;
Javnost,13183222,,Journal,3315;
Jazykovedny Casopis,00215597,,Journal,3310; 1203;
Jazz Perspectives,17494060,17494079,Journal,3316; 1200; 1210;
JBI Database of Systematic Reviews and Implementation Reports,,22024433,Journal,2900; 2700; 
JBIS. Journal of the British Interplanetary Society,0007084X,,Journal,1912; 2202;
JBR-BTR : organe de la Societe royale belge de radiologie (SRBR) = orgaan van de Koninklijke Belgische Vereniging voor Radiologie (KBVR),03027430,,Journal,2741;
JCRS Online Case Reports,,22141677,Journal,2746; 2731; 
JCT CoatingsTech,15470083,,Journal,2508; 1505; 1600; 3110;
JDDG - Journal of the German Society of Dermatology,16100379,16100387,Journal,2708;
"JEE, Journal of Electronic Engineering",03854507,,Journal,2200;
Jenda,15305686,,Journal,3318; 3312; 3316;
Jeoloji Muhendisligi Dergisi,10169172,,Journal,2300; 1900;
Jernkontorets Annaler,00215902,,Journal,2200;
JETP Letters,00213640,10906487,Journal,3101;
Jeune Afrique,00216089,,Journal,2700;
JEUR/Journal Européen des Urgences,09939857,,Journal,2706; 2711;
Jewish Culture and History,1462169X,,Journal,3200; 2700; 3300;
Jewish History,0334701X,,Journal,1202; 3316;
Jewish Sociology & Social Research,,,Journal,3316; 1212;
Jezik in Slovstvo,00216933,15813754 ,Journal,1208; 3310; 1203; 
Jezikoslovlje,13317202,,Journal,3200; 3310; 1200; 1203;
Jezikoslovni Zapiski,03540448,,Journal,3310; 1203; 
Jezyk Polski,00216941,,Journal,3310; 1203; 
JFE Technical Report,13480677,,Journal,2505; 2211; 2506; 2210;
"JFMA, the Journal of the Florida Medical Association. Florida Medical Association",00916757,,Journal,2700;
JFORL. Journal francais d'oto-rhino-laryngologie; audiophonologie et chirurgie maxillo-faciale,00218332,,Journal,2700;
Ji Chuang/Machine Tools,10001271,,Journal,2200;
Ji sheng chong xue yu ji sheng chong bing za zhi = Journal of parasitology & parasitic diseases,10001808,,Journal,2700;
Ji Xie She Ji Yu Yian Jiu/Machine Design and Research,10062343,,Journal,2210;
Jianghan Shiyou Xueyuan Xuebao/Journal of Jianghan Petroleum Institute,10009752,,Journal,1907;
Jiangsu Daxue Xuebao (Ziran Kexue Ban) / Journal of Jiangsu University (Natural Science Edition),16717775,,Journal,2200;
Jianzhu Cailiao Xuebao/Journal of Building Materials,10079629,,Journal,2215; 2211; 2205;
Jianzhu Jiegou Xuebao/Journal of Building Structures,10006869,,Journal,2215; 2205;
Jiaotong Yunshu Xitong Gongcheng Yu Xinxi/ Journal of Transportation Systems Engineering and Information Technology,10096744,,Journal,2611; 2207; 3313; 1706;
Jiefangjun Ligong Daxue Xuebao/Journal of PLA University of Science and Technology (Natural Science Edition),10093443,,Journal,2205; 1710; 1902;
Jiegou Huaxue,02545861,,Journal,1600;
Jiguang Jishu/Laser Technology,10013806,,Journal,2208;
Jiguang Yu Hongwai/Laser and Infrared,10015078,,Journal,3107; 2208;
Jiguang Zazhi/Laser Journal,02532743,,Journal,2208;
Jikeikai Medical Journal,00216968,,Journal,2700;
Jikken dobutsu. Experimental animals,00075124,,Journal,2700;
Jiliang Xuebao/Acta Metrologica Sinica,10001158,,Journal,3105; 2208;
Jilin Daxue Xuebao (Diqiu Kexue Ban)/Journal of Jilin University (Earth Science Edition),16715888,,Journal,1909; 1907;
Jilin Daxue Xuebao (Gongxueban)/Journal of Jilin University (Engineering and Technology Edition),16715497,,Journal,1000;
"Jimburn Chiri/Human Geography, Kyoto",00187216,,Journal,3305;
Jinekoloji ve Obstetri Bulteni,13000438,,Journal,2729;
Jinekoloji ve Obstetrik Dergisi,10165126,,Journal,2729;
Jing ji lun wen,1018161X,,Journal,2700;
Jingangshi yu Moliao Moju Gongcheng/Diamond and Abrasives Engineering,1006852X,,Journal,2210;
Jingxi Huagong/Fine Chemicals,10035214,,Journal,1500;
Jinko mondai kenkyu. [Journal of population problems],03872793,,Journal,2700;
Jinkogaku kenkyu / Nihon Jinko Gakkai henshu,03868311,,Journal,2700;
Jinrui idengaku zasshi. The Japanese journal of human genetics,00215074,,Journal,2700;
Jinshu Kuangshan/Metal Mine,10011250,,Journal,1909; 2506;
Jinshu Rechuli Xuebao/Transactions of Metal Heat Treatment,0254587X,,Journal,2506;
Jinshu Rechuli/Heat Treatment of Metals,02546051,,Journal,2211; 2506; 2210; 2209;
Jinshu Xuebao/Acta Metallurgica Sinica,04121961,,Journal,1909; 2211; 2506; 2210;
Jiqiren/Robot,10020446,,Journal,1702; 2611; 2210; 1712; 2604; 2208;
Jishou Daxue Xuebao/Journal of Jishou University,10072985,,Journal,1405;
Jisuan Jiegou Lixue Jiqi Yingyong/Journal of Computational Structural Mechanics and Applications,10003401,,Journal,2200;
Jisuan Lixue Xuebao/Chinese Journal of Computational Mechanics,10074708,,Journal,2611; 2206; 2604;
Jisuan Wuli/Chinese Journal of Computational Physics,1001246X,,Journal,3100; 2611; 2604;
Jisuanji Fuzhu Sheji Yu Tuxingxue Xuebao/Journal of Computer-Aided Design and Computer Graphics,10039775,,Journal,1704; 1712;
Jisuanji Gongcheng/Computer Engineering,10003428,,Journal,1708; 1712; 1705;
"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",10065911,,Journal,1712; 2209; 2207; 1706; 2208;
Jisuanji Xuebao/Chinese Journal of Computers,02544164,,Journal,1708; 1704; 1712; 1705;
Jisuanji Yanjiu yu Fazhan/Computer Research and Development,10001239,,Journal,1708; 1712; 1705;
Jixie Gongcheng Xuebao/Chinese Journal of Mechanical Engineering,05776686,,Journal,2210; 2604; 1706;
Jixie Kexue Yu Jishu/Mechanical Science and Technology,10038728,,Journal,2210;
Jixie Qiandu/Journal of Mechanical Strength,10019669,,Journal,2211; 2611; 2210; 2604;
JK Practitioner,09718834,,Journal,2700;
JK Science,09721177,,Journal,2724;
JMM International Journal on Media Management,14241277,,Journal,3315; 1408;
JMS - Journal of Medical Society,09724958,,Journal,2700;
"JNMM, Journal of the Institute of Nuclear Materials Management",08936188,,Journal,2104; 2311; 2213;
JNMS - Journal of the Neuromusculoskeletal System,10678239,,Journal,2728; 3612;
JNT-Journal of Narrative Theory,15490815,,Journal,1208; 3316;
Joannea - Geologie und Palaontologie,15629449,,Journal,1911; 1913; 1907;
JOCCA - Surface Coatings International,13560751,,Journal,2500;
"JOGN nursing; journal of obstetric, gynecologic, and neonatal nursing",00900311,,Journal,2700;
Johns Hopkins Advanced Studies in Nursing,15580172,,Journal,2900;
Johns Hopkins Advanced Studies in Ophthalmology,15580202,,Journal,2731;
Johns Hopkins APL Technical Digest (Applied Physics Laboratory),02705214,,Journal,3100; 2200;
Johns Hopkins Medical Journal,00217263,,Journal,2700;
JOICFP News,09110755,,Journal,2700;
JOICFP Review,09110763,,Journal,2700;
JOIDES Journal,07345615,,Journal,1910; 1907;
Joining & materials,09541497,,Journal,2200;
Joint Bone Spine,1297319X,,Journal,2700;
Joint Commission Journal on Quality and Patient Safety,15537250,,Journal,2911;
Joint Commission journal on quality and safety,15493741,1549425X,Journal,2700;
Joint Commission Perspectives on Patient Safety,15345181,,Journal,2911;
Joint Commission perspectives. Joint Commission on Accreditation of Healthcare Organizations,10444017,,Journal,2700;
Joint Commission: The Source,15428672,19381301 ,Journal,2911; 
JOM,10474838,,Journal,2200; 2500;
"JONA's Healthcare Law, Ethics, and Regulation",15209229,1539073X,Journal,2910; 2719; 3308;
JOOP - Journal of Object-Oriented Programming,08968438,,Journal,1700;
Jordan Journal of Civil Engineering,19930461,2225157X ,Journal,2205; 
Jordan Journal of Mechanical and Industrial Engineering,19956665,,Journal,2209; 2210;
Jordan Medical Journal,04469283,,Journal,2700;
Jordemodern,00217468,,Journal,2700;
Jordmorbladet : bilag til tidsskriftet Sykepleien,08050562,,Journal,2700;
Jornal brasileiro de doencas toracicas,00472069,,Journal,2700;
Jornal Brasileiro de Ginecologia,03681416,,Journal,2729;
Jornal brasileiro de nefrologia : orgão oficial de Sociedades Brasileira e Latino-Americana de Nefrologia,21758239,,Journal,2700;
Jornal Brasileiro de Pneumologia,18063713,18063756,Journal,2700;
Jornal Brasileiro de Psiquiatria,00472085,,Journal,2738;
Jornal Brasileiro de Reproducao Assistida,15175693,,Journal,2729;
Jornal Brasileiro de Urologia,01000519,,Journal,2700;
Jornal da Liga Brasileira de Epilepsia,01033212,,Journal,2728;
Jornal da Sociedade Brasileira de Fonoaudiologia,21796491,,Journal,2733; 3616;
Jornal de Pediatria,00217557,,Journal,2735;
Jornal de Pneumologia,01023586,,Journal,2740;
Jornal Vascular Brasileiro,16775449,16777301,Journal,2705;
Josai Shika Daigaku kiyo. The Bulletin of the Josai Dental University,03012662,,Journal,2700;
Journal - Academy of General Dentistry,00014265,,Journal,2700;
Journal - Alabama Dental Association,00024198,,Journal,2700;
Journal - American Health Care Association,03604969,,Journal,2700;
Journal - Association for Hospital Medical Education,01484869,,Journal,2700;
Journal - Geodetic Society of Japan,00380830,,Journal,2300; 1900;
Journal - Geological Society of Jamaica,0435401X,,Journal,2300; 1900;
Journal - Michigan State Medical Society,00987522,,Journal,2700;
Journal - Mississippi Dental Association,00477532,,Journal,2700;
Journal - National Association of Private Psychiatric Hospitals,00278629,,Journal,2700;
"Journal - Natural History Museum and Institute, Chiba",09159126,,Journal,2300; 1900;
Journal - Oklahoma Dental Association,01649442,,Journal,2700;
Journal - Oklahoma State Dental Association,00301868,,Journal,2700;
Journal - Oklahoma State Medical Association,00301876,,Journal,2700;
Journal - Seattle-King County Dental Society,00370452,,Journal,2700;
Journal - Southern California Dental Association,0098843X,,Journal,2700;
Journal - Southern California State Dental Association,00987115,,Journal,2700;
Journal - Tennessee State Dental Association,00913987,,Journal,2700;
Journal - World Food Programme,10109099,,Journal,2300; 1900;
Journal (Academy of Hospital Administration (India)),09709452,,Journal,2700;
Journal (American Academy of Gnathologic Orthopedics),08861064,,Journal,2700;
Journal (American Association for Medical Transcription),07452624,15501051,Journal,3606; 3608;
Journal (Anglo-Continental Dental Society),00033324,,Journal,2700;
Journal (Association for Healthcare Philanthropy (U.S.)),10617655,,Journal,2700;
Journal (Institute of Health Record & Information Management : 2008),,,Journal,2700;
Journal (National Association for Hospital Development (U.S.)),01964933,,Journal,2700;
Journal Africain d'Hepato-Gastroenterologie,19543204,19543212,Journal,2715; 2721; 2725;
Journal Africain du Cancer,19650817,19650825,Journal,2730;
Journal and Proceedings - Royal Society of New South Wales,00359173,,Journal,2300; 1900;
Journal Asiatique,0021762X,17831504 ,Journal,3310; 1203; 1202; 1208; 3316;
Journal Belge de Medecine Physique et de Rehabilitation,02504766,,Journal,2700;
Journal belge de médecine physique et de rhumatologie. Belgisch tijdschrift voor fysische geneeskunde en reumatologie,03681459,,Journal,2700;
Journal belge de medecine physique. Belgisch tijdschrift voor fysische geneeskunde,03789500,,Journal,2700;
Journal belge de neurologie et de psychiatrie,03681408,,Journal,2700;
Journal Belge de Radiologie,00217646,,Journal,2741;
Journal Belge de Rhumatologie et de Medicine Physique,00217654,,Journal,2700;
Journal belge d'urologie,03681556,,Journal,2700;
Journal d'Analyse Mathematique,00217670,,Journal,2603; 2600;
Journal de Biophysique et Medecine Nucleaire,02433354,,Journal,2700;
Journal de Chirurgie,00217697,,Journal,2746;
Journal de Chirurgie Viscerale,1878786X,18787878 ,Journal,2746;
Journal de Conseil - Conseil International pour l'Exploration de la Mer,00206466,,Journal,2300; 1900;
Journal de Genetique Humaine,00217743,,Journal,2716;
Journal de Gynecologie Obstetrique et Biologie de la Reproduction,03682315,,Journal,2729; 2743;
Journal de la Societe des Americanistes,00379174,19577842 ,Journal,3316; 3314; 
Journal de mecanique,00217832,,Journal,2200;
Journal de mecanique appliquee,03990842,,Journal,2200;
Journal de Mecanique Theorique et Appliquee,07507240,,Journal,2200;
Journal de medecine de Bordeaux et du Sud-Ouest,03683001,,Journal,2700;
Journal de médecine de Nantes,,,Journal,2700;
Journal de Medecine de Strasbourg,00217905,,Journal,2700;
Journal de Medecine Legale Droit Medical,02496208,,Journal,2734;
Journal de Mycologie Medicale,11565233,,Journal,2725;
Journal de Neuroradiologie,03350800,,Journal,2700;
Journal de Pediatrie et de Puericulture,09877983,,Journal,2735;
Journal de Pharmacie Clinique,02911981,,Journal,2736;
Journal de Physique,03020738,,Journal,2200;
"Journal de Physique (Paris), Lettres",0302072X,,Journal,2200;
Journal de Physique II,11554312,,Journal,2200;
"Journal de Physique, I",11554304,,Journal,2200;
Journal de Physique. Colloque,04491947,,Journal,2200;
Journal de Physique. III,11554320,12864897,Journal,2200;
Journal de Physique. IV : JP,11554339,,Journal,3100;
Journal de Radiologie,02210363,,Journal,2741; 3614;
"Journal de radiologie, d'électrologie & archives",0368394X,,Journal,2700;
"Journal de radiologie, d'electrologie, et de medecine nucleaire",03683966,,Journal,2700;
Journal de Readaptation Medicale,0242648X,,Journal,2742; 3612;
Journal de Recherches Atmospheriques,00217972,,Journal,2300; 1900;
Journal de Theorie des Nombres de Bordeaux,12467405,,Journal,2602;
Journal de Therapie Comportementale et Cognitive,11551704,,Journal,3206; 3203; 2738;
Journal de Traumatologie du Sport,0762915X,,Journal,2742; 2732; 2746;
Journal d'Echographie et de Medecine Ultrasonore,02455552,,Journal,2741;
Journal d'Economie Medicale,02940736,,Journal,2719;
Journal des Anti-Infectieux,22106545,,Journal,2725; 2736;
Journal des Economistes et des Etudes Humaines,21945799,21531552,Journal,2000; 3300; 
Journal des Maladies Vasculaires,03980499,,Journal,2705;
Journal des Mathematiques Pures et Appliquees,00217824,,Journal,2604; 2600;
Journal des praticiens; revue générale de clinique et de thérapeutique,03683397,,Journal,2700;
Journal des Professionnels de l'Enfance,12975354,,Journal,2735; 2919;
Journal des Savants,00218103,,Journal,1208;
Journal du Conseil - Conseil Permanent International pour l'Exploration de la Mer,09023232,,Journal,2300; 1900;
Journal d'Urologie,02480018,,Journal,2748;
Journal d'Urologie et de Nephrologie,00218200,,Journal,2700;
Journal d'urologie médicale et chirurgicale,03684679,,Journal,2700;
Journal Europeen des Systemes Automatises,12696935,,Journal,2207;
Journal Europeen des Urgences et de Reanimation,22114238,,Journal,2706; 2711; 
Journal Europeen d'Hydrologie,10236368,,Journal,2300; 2312; 2212;
Journal for Advancement of Marketing Education,23263296,15375137 ,Journal,1406; 3304; 
Journal for Critical Education Policy Studies,20510959,17402743,Journal,3304; 
Journal for Cultural Research,14797585,,Journal,3316; 3314;
Journal for East European Management Studies,09496181,18620019 ,Journal,1403; 1408; 2308; 1410;
Journal for European Environmental and Planning Law,16137272,18760104 ,Journal,3308; 2308; 
Journal for General Philosophy of Science,09254560,,Journal,1207; 1211; 3300;
Journal for Geometry and Graphics,14338157,,Journal,2608; 3202; 2604;
Journal for Global Business Advancement,1746966X,17469678 ,Journal,1403;
